Dromus, 0.1, 2, 62
Dusa, 0.21, 1, 63
Edel, 0.22, 2, 64
Edranios, 0.2, 1, 65
Ellyos, 0.26, 2, 66
Eniw, 0.21, 2, 67
Erato, 0.16, 2, 68
Eri, 0.3, 1, 69
Etov, 0.22, 1, 70
Ettos, 0.2, 0, 71
Fernius, 0.11, 1, 72
Fides, 0.11, 0, 73
Gaia, 0.27, 0, 74
Gameno, 0.24, 1, 75
Gattemis, 0.26, 1, 76
Gauximir, 0.18, 0, 77
Genos, 0.31, 2, 78
Gibsar, 0.13, 0, 79
Glados, 0.3, 0, 80
Glepexer, 0.3, 0, 81
Gliese, 0.29, 2, 82
Gnaris, 0.24, 0, 83
Grasmaris, 0.25, 1, 84
Hadar, 0.19, 0, 85
Haedus, 0.25, 2, 86
Hamal, 0.23, 0, 87
Hamasaki, 0.27, 0, 88
Harcamus, 0.3, 2, 89
Harnox, 0.29, 0, 90
Hesper, 0.3, 0, 91
Hestia, 0.23, 0, 92
Hexis, 0.24, 2, 93
Hidarcamus, 0.24, 1, 94
Hio, 0.2, 2, 95
Hixar, 0.17, 0, 96
Hixius, 0.25, 0, 97
Hollow, 0.18, 1, 98
Horus, 0.24, 1, 99
Hova, 0.37, 1, 100
Hovium, 0.22, 2, 101
Huxley, 0.27, 1, 102
Ibos, 0.18, 0, 103
Icarus, 0.2, 1, 104
Ichora, 0.24, 1, 105
Igeon, 0.16, 0, 106
Igneris, 0.19, 1, 107
Iris, 0.23, 2, 108
Ivion, 0.11, 2, 109
Izar, 0.25, 0, 110
Jasker, 0.29, 2, 111
Kallar, 0.13, 2, 112
Kalodox, 0.3, 0, 113
Kamiki, 0.26, 0, 114
Kamus, 0.17, 0, 115
Karimin, 0.21, 1, 116
Karuel, 0.2, 1, 117
Kasmos, 0.17, 0, 118
Katsullie, 0.11, 0, 119
Kaus, 0.22, 1, 120
Kavi, 0.14, 2, 121
Kelleris, 0.17, 1, 122
Kemeris, 0.15, 1, 123
Kemmus, 0.19, 0, 124
Kepler, 0.32, 2, 125
Kercamus, 0.13, 2, 126
Keter, 0.24, 1, 127
Keterium, 0.34, 2, 128
Kirilov, 0.41, 2, 129
Kiskakov, 0.27, 0, 130
Koen, 0.13, 1, 131
Koevanir, 0.23, 2, 132
Krihar, 0.27, 0, 133
Krism, 0.23, 1, 134
Kuma, 0.27, 2, 135
Lapine, 0.24, 2, 136
Lilith, 0.24, 1, 137
Lirimis, 0.13, 2, 138
Litus, 0.11, 2, 139
Lomo, 0.39, 1, 140
Lomotus, 0.37, 2, 141
Lonumes, 0.28, 2, 142
Lornus, 0.08, 0, 143
Luma, 0.22, 2, 144
Lumens, 0.26, 2, 145
Luna, 0.31, 2, 146
Lupium, 0.28, 1, 147
Lupus, 0.26, 2, 148
Luxsol, 0.26, 1, 149
Lycaon, 0.28, 0, 150
Maimon, 0.32, 2, 151
Makiov, 0.35, 0, 152
Mangarataia, 0.15, 1, 153
Marsha, 0.3, 2, 154
Megara, 0.19, 0, 155
Megarium, 0.11, 1, 156
Mellos, 0.24, 1, 157
Mevis, 0.25, 2, 158
Midas, 0.28, 0, 159
Mira, 0.17, 0, 160
Mirzam, 0.37, 1, 161
Mirzanium, 0.3, 0, 162
Mizar, 0.23, 2, 163
Moirai, 0.09, 1, 164
Muhadaram, 0.29, 2, 165
Musparim, 0.25, 1, 166
Naos, 0.26, 2, 167
Narmin, 0.17, 2, 168
Nashira, 0.33, 0, 169
Neffer, 0.1, 2, 170
Nekarium, 0.12, 0, 171
Nekkar, 0.1, 1, 172
Neodrum, 0.14, 0, 173
Netaris, 0.13, 2, 174
Nico, 0.22, 2, 175
Nihal, 0.2, 2, 176
Niller, 0.2, 0, 177
Nils, 0.18, 0, 178
Nivalis, 0.28, 2, 179
Norium, 0.3, 0, 180
Norus, 0.34, 2, 181
Nox, 0.21, 2, 182
Okemir, 0.36, 1, 183
Orion, 0.18, 0, 184
Ottus, 0.22, 1, 185
Oturn, 0.18, 0, 186
Owarim, 0.2, 1, 187
Oxinares, 0.21, 2, 188
Oxius, 0.18, 2, 189
Pallas, 0.21, 0, 190
Pandora, 0.16, 0, 191
Phobos, 0.14, 2, 192
Plamoran, 0.15, 0, 193
Polaris, 0.29, 2, 194
Polarium, 0.15, 1, 195
Polarius, 0.13, 0, 196
Pollux, 0.18, 1, 197
Polvoris, 0.3, 0, 198
Quartamus, 0.17, 2, 199
Quatraz, 0.26, 0, 200
Ragnarok, 0.27, 2, 201
Raze, 0.16, 2, 202
Rieter, 0.38, 2, 203
Rigil, 0.17, 1, 204
Sarnios, 0.11, 1, 205
Serdin, 0.26, 2, 206
Sillex, 0.37, 0, 207
Sirius, 0.17, 0, 208
Sirtaris, 0.18, 0, 209
Sminov, 0.29, 1, 210
Solaire, 0.2, 0, 211
Sonus, 0.29, 1, 212
Stella, 0.19, 0, 213
Talanis, 0.24, 0, 214
Talin, 0.23, 1, 215
Tartarus, 0.13, 2, 216
Taryn, 0.31, 1, 217
Tatov, 0.21, 2, 218
Tenebris, 0.28, 2, 219
Thanatos, 0.35, 0, 220
Thormiun, 0.19, 1, 221
Tormenos, 0.36, 1, 222
Umbria, 0.23, 0, 223
Valupens, 0.11, 0, 224
Veragon, 0.35, 1, 225
Vermecia, 0.21, 0, 226
Vixar, 0.3, 0, 227
Vox, 0.2, 1, 228
Vulpes, 0.19, 0, 229
Vulpium, 0.12, 0, 230
Xadmus, 0.11, 2, 231
Xenium, 0.09, 2, 232
Xenos, 0.27, 1, 233
Yahafar, 0.17, 2, 234
Yashar, 0.25, 1, 235
Yata, 0.3, 0, 236
Yerim, 0.23, 2, 237
Yomarim, 0.14, 0, 238
Yomus, 0.26, 0, 239
Yulan, 0.23, 0, 240
Zakarme, 0.32, 0, 241
Zarcamus, 0.27, 0, 242
Zarmus, 0.26, 0, 243
Zaurak, 0.2, 0, 244
Zell, 0.17, 1, 245
Zerus, 0.21, 1, 246
Zibal, 0.25, 0, 247
Zimarium, 0.29, 1, 248
Zobros, 0.12, 1, 249
Zollaris, 0.11, 2, 250
Zormen, 0.16, 2, 251
Zory, 0.26, 1, 252
Zosma, 0.24, 0, 253
Zosmor, 0.18, 0, 254
Zox, 0.13, 0, 255
